题名,题名说明,分类,主要责任者,责任者说明,古籍版本,"版本类型
稿本、写本、抄本、影抄本、刻本、活字本、套印本、石印本、彩绘本",刊刻时间,刊刻地址,馆藏,馆藏地点（省级单位）,四部分类,子目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200056,史,汉司马迁撰　清王鸣盛畧诠,,清宣统元年刻本（封面题重订史记畧诠）,刻本,清,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷桐城吴先生汇录诸家史记评话一卷桐城吴先生史记初校本点识一卷,史10200054,史,汉司马迁撰　吴汝纶点勘　（桐城吴先生汇录诸家史记评话）清吴汝纶辑　（桐城吴先生史记初校本点识）吴闓生辑,,清宣统六年南宫邢氏刻本,刻本,清,北京,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200053,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明徐孚远、陈子龙测议,,清瑞成堂刻本,刻本,清,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200053,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明徐孚远、陈子龙测议,,明末刻本,刻本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200053,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明徐孚远、陈子龙测议,,明末素位堂刻本,刻本,明,福建,浙江图书馆,浙江,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200053,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明徐孚远、陈子龙测议,,明崇祯间刻本,刻本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200052,史,汉司马迁撰　明邹德沛辑评,,明崇祯十三年酣古斋刻本,刻本,明,,扬州市图书馆,江苏,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200051,史,汉司马迁撰　明葛鼎、金蟠辑评,,明崇祯十年葛氏刻本,刻本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200050,史,汉司马迁撰　明朱东观辑评,,明末玉夏斋刻本,刻本,明,,清华大学图书馆　上海图书馆　吉林大学图书馆　新疆大学图书馆　兴化市图书馆,北京 上海 吉林  新疆 江苏,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200049,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明锺人杰辑评,,明锺人杰刻本,刻本,明,江苏,上海图书馆 浙江图书馆,上海 浙江,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200048,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明黄嘉惠辑评,,明黄嘉惠刻本,刻本,明,安徽,浙江图书馆,浙江,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记二十四卷,史10200047,史,汉司马迁撰　明邓以赞辑评　明陈祖苞参补,,明万历四十六年刻本,刻本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200046,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明陈仁锡评,,明末程正揆刻清怀德堂印本,印本,清,江苏,山东省图书馆,山东,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200046,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义　明陈仁锡评,,明崇祯间刻本,刻本,明,,国家图书馆　上海图书馆　山东省图书馆,北京 上海 山东,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记二十二卷,史10200045,史,汉司马迁撰　明锺惺评,,清康熙五十二年胡彬抄本,抄本,清,,南京图书馆,江苏,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200044,史,汉司马迁撰　明锺惺评,,明天啓五年沈国元大来堂刻本,刻本,明,,上海图书馆　天津图书馆　浙江图书馆,上海 天津 浙江,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷方望溪平点史记四卷,史10200041,史,汉司马迁撰　明归有光评点　清方苞评点,,民国七年交通图书馆影印武昌张氏本,印本,民国,上海,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷方望溪平点史记四卷,史10200041,史,汉司马迁撰　明归有光评点　清方苞评点,,清光绪二至四年武昌张氏刻本,刻本,清,湖北,国家图书馆　上海图书馆　天津图书馆　南开大学图书馆,北京 上海 天津,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷附考证,史10200040,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,四部备要本,印本,民国,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷附考证,史10200040,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,二十五史本,,,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷附考证,史10200040,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,袖珍古书读本本,,,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷附考证,史10200040,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,四史本（成都书局本）,刻本,清,四川,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷附考证,史10200040,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,四史本（世界书局景印武英殿本）,印本,民国,上海,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷附考证,史10200040,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷附考证,史10200040,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,四库全书本,,清,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷附考证,史10200040,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,百衲本二十四史本,印本,民国,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,重刊二十四史本,,,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,清同治九年崇文书局刻本,刻本,清,湖北,上海图书馆　天津图书馆,上海 天津,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,清同治五至九年金陵书局刻本,刻本,清,江苏,北京市文物局　上海图书馆 吉林大学图书馆 福建省图书馆,北京 上海 吉林 福建,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,古香斋袖珍十种本,刻本,清,广州,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明末刻本（清许廷录批）,刻本,明,,常熟市图书馆,江苏,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,二十一史本（北监本）,,清,北京,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明万历二十四年南京国子监刻明清递修本,修本,清,,湖南省图书馆,湖南,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明万历二十四年南京国子监刻本,刻本,明,江苏,南京图书馆,江苏,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明万历间张守约刻本,刻本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明万历九年刘维刻本,刻本,明,,国家图书馆　上海图书馆,北京 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明万历六年山西布政司刻本,刻本,明,山西,中山大学图书馆,广东,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明万历二至三年南京国子监刻本,刻本,明,江苏,常熟市图书馆 福建省图书馆 上海图书馆,江苏 福建 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明嘉靖十三年秦藩朱惟焯刻十九年重修本,修本,明,,国家图书馆　上海图书馆,北京 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明嘉靖十三年秦藩朱惟焯刻本,刻本,明,陕西,北京大学图书馆　辽宁省图书馆,北京 辽宁,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明嘉靖八至九年南京国子监刻本,刻本,明,江苏,国家图书馆　天津图书馆,北京 天津,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明嘉靖四至六年王延喆刻本,刻本,明,,上海图书馆　复旦大学图书馆　华东师范大学图书馆　南京图书馆　天津图书馆,上海 天津 江苏,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明嘉靖四年汪谅刻本,刻本,明,,国家图书馆　上海图书馆　浙江图书馆　南京图书馆,北京 上海 浙江 江苏 ,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,明正德十二年廖铠刻本,刻本,明,,国家图书馆　上海图书馆,北京 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,元至元二十五年彭寅翁崇道精舍刻本（卷一百十七至一百二十二配蒙古中统二年段子成刻本）,刻本,元,,国家图书馆,北京 ,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200039,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐　唐张守节正义,,宋黄善夫家塾刻本（清黄绍箕题款）,刻本,宋,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200037,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐,,明正德间刘氏慎独斋刻本,刻本,明,福建,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200037,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐,,明正德十三年邵宗周刻本,刻本,明,,北京大学图书馆　浙江图书馆,北京 浙江,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200037,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐,,明天顺间游明刻本,刻本,明,,国家图书馆 北京大学图书馆　上海图书馆,北京 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200037,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐,,元大德间饶州路儒学刻本,刻本,元,江西,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200037,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐,,蒙古中统二年段子成刻明修本,修本,明,,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200037,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐,,宋淳熙三年张杅桐川郡斋刻八年耿秉重修本,修本,宋,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200037,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐,,宋淳熙三年张杅桐川郡斋刻本,刻本,宋,安徽,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200037,史,汉司马迁撰　刘宋裴駰集解　唐司马贞索隐,,宋干道七年蔡梦弼东塾刻本,刻本,宋,,国家图书馆　上海图书馆,北京 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,清刻本,刻本,清,,南京图书馆,江苏,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,四库全书本,,清,,,,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,十七史本（清顺治十一年重修本）,修本,清,,国家图书馆 故宫博物院图书馆 上海图书馆,北京 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,十七史本,,清,,国家图书馆 上海图书馆　云南师箱大学图书馆 湖南师范大学图书馆,北京 上海 云南 湖南,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,明正德十年白鹿洞书院刻本,刻本,明,江西,北京大学图书馆　上海图书馆,北京 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,宋刻递修本,修本,宋,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,宋刻本,刻本,宋,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,宋刻本,刻本,宋,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,宋刻本,刻本,宋,,国家图书馆　北京大学图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,宋刻宋元明递修弘治间公文纸印本,印本,明,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,宋刻宋元递修本,修本,元,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,宋绍兴间淮南路转运司刻宋元明初递修本,修本,明,,国家图书馆,北京,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,宋绍兴间淮南路转运司刻本,刻本,宋,江苏 安徽,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记二十四卷,史10200032,史,汉司马迁撰　明锺鸣陛校,,明刻本,刻本,明,,山西省图书馆,山西,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200031,史,汉司马迁撰　汉褚少孙、唐司马贞补,,明崇祯元年新安黄之宷刻本,刻本,明,安徽,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200031,史,汉司马迁撰　汉褚少孙、唐司马贞补,,明吴勉学刻本,刻本,明,安徽,国家图书馆　上海图书馆,北京 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200208,史,汉班固撰　唐顔师古注　明陈仁锡评,,明崇祯间刻本,刻本,明,,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200207,史,汉班固撰　唐顔师古注　明锺人杰辑评,,明万历四十七年锺人杰刻本,刻本,明,江苏,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200206,史,汉班固撰　明葛锡璠汇评,,明崇祯十二年葛鼎刻本,刻本,明,江苏,中国科学院图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,四史本（刘承干辑）,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,清光绪十三年金陵书局刻本,刻本,清,江苏,南京图书馆,江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
