题名,题名说明,分类,主要责任者,责任者说明,古籍版本,"版本类型
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,清光绪八年桐城方氏刻本,刻本,清,安徽,北京大学图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,重刊二十四史本（前汉书）,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,二十四史本（五省官书局本）,刻本,清,江苏,国家图书馆　首都图书馆　上海图书馆　复旦大学图书馆　南京图书馆　湖北省图书馆　福建省图书馆,北京 上海 江苏 福建 湖北,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,上海图书馆 天津,上海 天津,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,清金阊书业堂刻本,刻本,清,浙江,南开大学图书馆,天津,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,清刻本,刻本,清,,湖北省图书馆,湖北,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,十七史本,,清,,国家图书馆　故宫博物院图书馆　中共北京市委图书馆　上海图书馆　复旦大学图书馆　华东师范大学图书馆　南京图书馆　常熟市图书馆　苏州大学图书馆　武汉大学图书馆　湖南省图书馆　湖南省图书馆师大　台州市黄严区图书馆,北京 上海 江苏 湖南 湖北 浙江,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,二十一史本（北监本，前汉书）,,,北京,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,二十一史本（南监本）,,,江苏,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,明嘉靖间汪文盛等刻二十八年周采等重修本,修本,明,,国家图书馆　天津图书馆　华东师范大学图书馆　山东省图书馆　南京图书馆,北京 天津 上海 江苏 山东,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,明嘉靖间汪文盛等刻本,刻本,明,,国家图书馆　北京大学图书馆　上海图书馆　山东省图书馆　南京图书馆,北京 上海 江苏 山东,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,明刻嘉靖十六年广东崇正书院重修本,修本,明,广东,国家图书馆　北京大学图书馆　上海图书馆　天津图书馆　南京图书馆,北京 上海 天津 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,明正统八至十年刻本,刻本,明,,国家图书馆　上海图书馆　南京图书馆　福建师范大学图书馆,北京 上海 江苏 福建,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,元大德九年太平路儒学刻明成化正德间递修本,修本,明,,国家图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,清初影宋抄本（存卷一至十二、二十一至二十八）,抄本,清,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,宋嘉定十七年白鹭洲书院刻本,刻本,宋,江西,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,宋蔡琪家塾刻本,刻本,宋,,北京大学图书馆　南京图书馆,北京 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,宋庆元元年刘元起刻本,刻本,宋,,北京大学图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,宋刻元明递修本,修本,明,,国家图书馆　天津图书馆　南京图书馆,北京 天津 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,宋刻元修本,修本,元,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,北宋刻宋元递修本,修本,元,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,北宋刻递修本,修本,宋,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200320,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注　明金蟠、葛鼎辑评,,明崇祯十六年刻本,刻本,明,,山东师范大学图书馆,山东,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200319,史,刘宋范晔撰　唐李贤注　明陈仁锡辑评　（志）晋司马彪撰　梁刘昭注　明陈仁锡评,,明天啓间刻本,刻本,明,,华东师范大学图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200319,史,刘宋范晔撰　唐李贤注　明陈仁锡辑评　（志）晋司马彪撰　梁刘昭注　明陈仁锡评,,明天啓七年云林积秀堂刻本,刻本,明,,国家图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200318,史,刘宋范晔撰　唐李贤注　明锺人杰辑评　（志）晋司马彪撰　梁刘昭注　明锺人杰辑评,,明锺人杰刻本,刻本,明,江苏,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书一百二十卷附考证,史10200317,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书一百二十卷附考证,史10200317,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书一百二十卷附考证,史10200317,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,清光绪三十一年上海久敬斋石印本,印本,清,上海,北京大学图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书一百二十卷附考证,史10200317,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,四史本（成都书局本、世界书局景印武英殿本）,刻本,清,四川,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书一百二十卷附考证,史10200317,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,四史本（成都书局本、世界书局景印武英殿本）,刻本,清,北京,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书一百二十卷附考证,史10200317,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,四史本（成都书局本、世界书局景印武英殿本）,刻本,清,上海,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书一百二十卷附考证,史10200317,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书一百二十卷附考证,史10200317,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,四库全书本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书一百二十卷附考证,史10200317,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,四史本（刘承干辑）,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,清同治十二年岭东使署刻本,刻本,清,广东,北京大学图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,四史本（金陵书局本）,,,江苏,南京图书馆,江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,二十四史本（五省官书局本）,刻本,清,江苏,国家图书馆　上海图书馆　湖北省图书馆　福建省图书馆,北京 上海 湖北 福建,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,明末刻本,刻本,明,,湖北省图书馆 中国人民大学图书馆,湖北 北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,十七史本,,清,,国家图书馆　中共中央党校图书馆　上海图书馆　复旦大学图书馆　青海省图书馆　南京图书馆　浙江图书馆 苏州市图书馆 苏州市图书馆大学　温州市图书馆　安徽省图书馆　武汉大学图书馆　湖南省图书馆　邵阳师范学院图书馆,北京 上海 青海 江苏 浙江 安徽 湖北 湖南,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,二十一史本（北监本，清康熙二十五年重修本）,修本,清,北京,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,二十一史本（北监本）,,清,北京,山西省文物局,山西,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,明刻本,刻本,明,,南京图书馆,江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,明嘉靖七至九年南京国子监刻明万历天啓崇祯弘光清顺治康熙间递修本,刻本,明,江苏,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,明嘉靖间汪文盛等刻二十八年周采等重修本,修本,明,,中国科学院图书馆　上海图书馆　天津图书馆,北京 上海 天津,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,明嘉靖间汪文盛等刻本,刻本,明,,国家图书馆　北京大学图书馆　上海图书馆　华东师范大学图书馆　南京图书馆,北京 上海 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,明刻嘉靖十六年广东崇正书院重修本,,明,广东,国家图书馆　上海图书馆　天津图书馆　南京图书馆,北京 上海 天津 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,明正统八至十一年刻本,刻本,明,,上海图书馆　南京图书馆,上海 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,元大德九年宁国路儒学刻明递修本,修本,明,,国家图书馆　北京大学图书馆　上海图书馆　辽宁省图书馆　山东省图书馆,北京 上海 辽宁 山东,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,元大德九年宁国路儒学刻本,刻本,元,安徽,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,清初影宋抄本（清朱锡庚、翁同书跋，李盛铎跋）,印本,清,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,宋黄善夫刻本,刻本,宋,福建,国家图书馆　北京大学图书馆　上海图书馆　天津图书馆,北京 上海 天津,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,宋刻元明递修本,修本,明,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,宋刻元修公文纸印本,印本,元,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,宋白鹭洲书院刻本,刻本,宋,江西,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,宋王叔边刻本,刻本,宋,福建,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,宋绍兴间江南东路转运司刻元明递修本,修本,宋,浙江,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,宋绍兴间江南东路转运司刻宋元递修公文纸印本,印本,宋,浙江,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,宋绍兴间江南东路转运司刻宋元递修本,修本,宋,浙江,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200316,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,北宋刻递修本,修本,宋,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后汉书九十卷志三十卷,史10200315,史,刘宋范晔撰　唐李贤注　（志）晋司马彪撰　梁刘昭注,,明吴勉学刻本,刻本,明,安徽,国家图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈寿三国志札记不分卷,史10200459,史,,,民国二十六年沈能毅抄本,抄本,民国,,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200414,史,晋陈寿撰　刘宋裴松之注　清邵自彭释,,清嘉庆间稿本（底本用明天啓六年刻修补剜改后印本）,印本,清,,北京大学图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200413,史,晋陈寿撰　刘宋裴松之注　明陈仁锡评,,明末刻本,刻本,明,,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200413,史,晋陈寿撰　刘宋裴松之注　明陈仁锡评,,明天啓间刻本,刻本,明,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200413,史,晋陈寿撰　刘宋裴松之注　明陈仁锡评,,明天啓间云林积秀堂刻本,刻本,明,,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷附考证,史10200411,史,晋陈寿撰　刘宋裴松之注,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷附考证,史10200411,史,晋陈寿撰　刘宋裴松之注,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷附考证,史10200411,史,晋陈寿撰　刘宋裴松之注,,四史本（成都书局本、世界书局景印武英殿本）,刻本 / 印本,清/民国,四川 上海,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷附考证,史10200411,史,晋陈寿撰　刘宋裴松之注,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷附考证,史10200411,史,晋陈寿撰　刘宋裴松之注,,四库全书本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷附考证,史10200411,史,晋陈寿撰　刘宋裴松之注,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,清光绪十二年广州澹吟馆刻本,刻本,清,广东,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,清光绪七年文雅斋刻本,刻本,清,,南开大学图书馆,天津,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
