题名,题名说明,分类,主要责任者,责任者说明,古籍版本,"版本类型
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,四史本（刘承干辑）,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,重刊二十四史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,二十四史本（五省官书局本）,刻本,清,江苏,复旦大学图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,清同治六年金陵书局活字印本,印本,清,江苏,国家图书馆 中国科学院图书馆　上海图书馆　天津图书馆,北京 上海 天津,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,浙江图书馆,浙江,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,清刻本,刻本,清,,上海图书馆　湖北省图书馆,上海 湖北,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,明抄本,抄本,明,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,明内府抄本（龚心钊跋）,抄本,明,北京,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,十七史本,,清,,国家图书馆　北京市文物局　　上海图书馆　　天津图书馆　陕西师范大学　南京图书馆　苏州市图书馆　　常州市图书馆　　湖南省图书馆　湖南省图书馆师大　中山大学图书馆　国家图书馆,北京 上海 天津 陕西 江苏 湖南 广东,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,明吴氏西爽堂刻本,刻本,明,广东,上海图书馆　天津图书馆　吉林省图书馆,上海 天津 吉林,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,二十一史本（北监本）,,清,北京,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,明万历二十四年南京国子监刻本清顺治康熙递修本（清谢章铤校并跋）,修本,清,,福建省图书馆,福建,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,明万历二十四年南京国子监刻本,刻本,明,江苏,国家图书馆　上海图书馆 南京图书馆　苏州大学图书馆,北京 上海 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,元刻明嘉靖间南京国子监递修本,修本,明,江苏,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,元刻明嘉靖万历间南京国子监递修本,修本,明,江苏,南京图书馆,江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,元大德十年池州路儒学刻本,刻本,元,安徽,国家图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,宋刻本,刻本,宋,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,宋刻元明递修本,修本,明 ,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,宋衢州州学刻元明递修本,修本,明,,北京大学图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志六十五卷,史10200410,史,晋陈寿撰　刘宋裴松之注,,宋刻递修公文纸印本,印本,宋,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三国志佚文一卷,史10200409,史,晋陈寿撰　清王仁俊辑,,经籍佚文本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷附考证,史10200564,史,梁沈约撰,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷附考证,史10200564,史,梁沈约撰,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷附考证,史10200564,史,梁沈约撰,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷附考证,史10200564,史,梁沈约撰,,四库全书本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷附考证,史10200564,史,梁沈约撰,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷,史10200563,史,梁沈约撰,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷,史10200563,史,梁沈约撰,,二十四史本（五省官书局本）,刻本,清,江苏,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷,史10200563,史,梁沈约撰,,十七史本,,清,,国家图书馆　湖南师范大学图书馆,北京 湖南,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷,史10200563,史,梁沈约撰,,二十一史本（北监本）,,清,北京,山西省文物局,山西,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷,史10200563,史,梁沈约撰,,明万历二十二年南京国子监刻清顺治康熙间递修本,修本,清,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷,史10200563,史,梁沈约撰,,宋刻宋元明递修本,修本,明,,国家图书馆　上海图书馆　辽宁省图书馆　南京图书馆　浙江图书馆,北京 上海 江苏 辽宁 浙江,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷,史10200563,史,梁沈约撰,,宋刻宋元明初递修本,修本,明,,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋书一百卷,史10200563,史,梁沈约撰,,宋刻宋元递修本,修本,元,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷附考证,史10200578,史,元萧子显撰,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷附考证,史10200578,史,元萧子显撰,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷附考证,史10200578,史,元萧子显撰,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷附考证,史10200578,史,元萧子显撰,,四库全书本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷附考证,史10200578,史,元萧子显撰,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷,史10200577,史,元萧子显撰,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷,史10200577,史,元萧子显撰,,重刊二十四史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷,史10200577,史,元萧子显撰,,二十四史本（五省官书局本）,刻本,清,江苏,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷,史10200577,史,元萧子显撰,,十七史本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷,史10200577,史,元萧子显撰,,二十一史本（北监本）,,清,北京,上海图书馆　山西省文物局,上海 山西,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷,史10200577,史,元萧子显撰,,二十一史本（南监本）,,清,江苏,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷,史10200577,史,元萧子显撰,,宋刻宋元明递修本,修本,宋,,国家图书馆　上海图书馆　南京图书馆,北京 上海 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南齐书五十九卷,史10200577,史,元萧子显撰,,宋刻宋元明初递修本,修本,宋,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书佚文一卷,史10200587,史,唐姚思廉撰　清王仁俊辑,,经籍佚文本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷附考证,史10200586,史,唐姚思廉撰,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷附考证,史10200586,史,唐姚思廉撰,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷附考证,史10200586,史,唐姚思廉撰,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷附考证,史10200586,史,唐姚思廉撰,,四库全书本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷附考证,史10200586,史,唐姚思廉撰,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷,史10200585,史,唐姚思廉撰,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷,史10200585,史,唐姚思廉撰,,重刊二十四史本,史本,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷,史10200585,史,唐姚思廉撰,,二十四史本（五省官书局本）,刻本,清,江苏,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷,史10200585,史,唐姚思廉撰,,十七史本,,清,,湖南师范大学图书馆,湖南,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷,史10200585,史,唐姚思廉撰,,二十一史本（北监本）,,清,北京,山西省文物局,山西,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷,史10200585,史,唐姚思廉撰,,明万历三年南京国子监刻清顺治康熙间递修本,修本,清,,国家图书馆　上海图书馆　天津图书馆,北京 上海 天津,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梁书五十六卷,史10200585,史,唐姚思廉撰,,宋刻宋元明递修本,修本,宋,,国家图书馆　南京图书馆,北京 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷附考证,史10200596,史,唐姚思廉撰,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷附考证,史10200596,史,唐姚思廉撰,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷附考证,史10200596,史,唐姚思廉撰,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷附考证,史10200596,史,唐姚思廉撰,,四库全书本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷附考证,史10200596,史,唐姚思廉撰,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷,史10200595,史,唐姚思廉撰,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷,史10200595,史,唐姚思廉撰,,重刊二十四史本, , ,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷,史10200595,史,唐姚思廉撰,,清同治八年岭南苑古堂刻本,刻本,清,福建,香港中央图书馆　中山大学图书馆,香港 广东,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷,史10200595,史,唐姚思廉撰,,二十四史本（五省官书局本）,刻本,清,江苏,国家图书馆,北京 ,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷,史10200595,史,唐姚思廉撰,,十七史本,,清,,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷,史10200595,史,唐姚思廉撰,,二十一史本（北监本）,,清,北京,山西省文物局,山西,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷,史10200595,史,唐姚思廉撰,,明万历十六年南京国子监刻本,刻本,明,江苏,北京大学图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷,史10200595,史,唐姚思廉撰,,宋刻元明递修本,修本,明,,北京大学图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷,史10200595,史,唐姚思廉撰,,宋刻宋元明递修本,修本,明,,国家图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈书三十六卷,史10200595,史,唐姚思廉撰,,宋刻宋元递修本,修本,元,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷附考证,史10200601,史,北齐魏收撰,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷附考证,史10200601,史,北齐魏收撰,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷附考证,史10200601,史,北齐魏收撰,,二十四史本（武英殿本、景印武英殿本）,刻本,清,北京,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷附考证,史10200601,史,北齐魏收撰,,四库全书本,,清,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷附考证,史10200601,史,北齐魏收撰,,摛藻堂四库全书荟要本,印本,现代,台湾,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷,史10200600,史,北齐魏收撰,,重刊二十四史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷,史10200600,史,北齐魏收撰,,二十四史本（五省官书局本）,刻本,清,江苏,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷,史10200600,史,北齐魏收撰,,十七史本,,清,,国家图书馆 湖南省图书馆　师大,北京 湖南,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷,史10200600,史,北齐魏收撰,,二十一史本（南监本、北监本）,,清,江苏 北京,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷,史10200600,史,北齐魏收撰,,宋刻宋元明递修本,修本,明,,国家图书馆　北京大学图书馆　上海图书馆　天津图书馆　南京图书馆,北京 上海 天津 江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏书一百十四卷,史10200600,史,北齐魏收撰,,宋刻宋元递修公文纸印本,印本,元,,国家图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北齐书佚文一卷,史10200620,史,唐李百药撰　清王仁俊辑,,经籍佚文本, , ,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北齐书五十卷附考证,史10200619,史,唐李百药撰,,四部备要本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北齐书五十卷附考证,史10200619,史,唐李百药撰,,二十五史本,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
